"subject","predicate","object","type_s","type_o","urgency_level","recommended_action","safe_action","contraindicated_for","source_reference","confidence_level","last_updated"
"Severe headache","IS_RED_FLAG_FOR","Stroke","Symptom","Condition","emergency","Call emergency services immediately; stroke is time-critical","Keep person still; note time of symptom onset","","https://www.nhs.uk/conditions/stroke/","high","2025-11-10"
"One-side weakness","IS_RED_FLAG_FOR","Stroke","Symptom","Condition","emergency","Call emergency services immediately","Do not give food or drink if swallowing difficulty","","https://www.nhs.uk/conditions/stroke/","high","2025-11-10"
"Difficulty speaking","IS_RED_FLAG_FOR","Stroke","Symptom","Condition","emergency","Call emergency services immediately","Keep person comfortable and note time of onset","","https://www.nhs.uk/conditions/stroke/","high","2025-11-10"
"Vision changes sudden","IS_RED_FLAG_FOR","Stroke/Retinal artery occlusion","Symptom","Condition","emergency","Seek emergency ophthalmic or stroke care immediately","Avoid bright lights and note time of onset","","https://www.nhs.uk/conditions/stroke/","high","2025-11-10"
"Seizure (lasting >5 minutes)","IS_RED_FLAG_FOR","Status epilepticus","Symptom","Condition","emergency","Call emergency services immediately; urgent hospital care required","Protect head; remove nearby hazards; do not force objects into mouth","","https://www.nhs.uk/conditions/epilepsy/treatment/first-aid-for-seizures/","high","2025-11-10"
"New onset seizure in adult","IS_RED_FLAG_FOR","Possible serious neurological cause","Symptom","Condition","urgent","Seek urgent medical assessment","Keep airway clear; record seizure duration","","https://www.nhs.uk/conditions/epilepsy/","high","2025-11-10"
"High fever with rash","IS_RED_FLAG_FOR","Meningococcal sepsis","Symptom","Condition","emergency","Go to emergency department immediately","Keep patient warm and monitor breathing","","https://www.nhs.uk/conditions/meningitis/","high","2025-11-10"
"Stiff neck","IS_RED_FLAG_FOR","Meningitis","Symptom","Condition","emergency","Seek urgent medical evaluation","Keep person comfortable and avoid bright lights","","https://www.nhs.uk/conditions/meningitis/","high","2025-11-10"
"Bulging fontanelle","IS_RED_FLAG_FOR","Infant meningitis","Symptom","Condition","emergency","Immediate pediatric assessment required","Keep child calm; seek urgent transport","","https://www.nhs.uk/conditions/meningitis/","high","2025-11-10"
"Persistent vomiting & inability to keep fluids","IS_RED_FLAG_FOR","Severe dehydration","Symptom","Condition","urgent","Contact medical services urgently; attend clinic or ED","Offer small sips of ORS if tolerated","","https://www.who.int/health-topics/diarrhoeal-disease","high","2025-11-10"
"Persistent vomiting with severe pain","IS_RED_FLAG_FOR","Bowel obstruction","Symptom","Condition","urgent","Seek urgent surgical assessment","Do not eat or drink until evaluated","","https://www.nhs.uk/conditions/bowel-obstruction/","high","2025-11-10"
"Severe abdominal pain","IS_RED_FLAG_FOR","Appendicitis","Symptom","Condition","urgent","Seek urgent surgical review","Avoid strong analgesics or food until evaluated","","https://www.nhs.uk/conditions/appendicitis/","high","2025-11-10"
"Severe abdominal pain with guarding","IS_RED_FLAG_FOR","Peritonitis","Symptom","Condition","emergency","Go to emergency department immediately","Keep patient still; do not give anything by mouth","","https://www.nhs.uk/conditions/peritonitis/","high","2025-11-10"
"Severe abdominal pain in pregnancy","IS_RED_FLAG_FOR","Ectopic pregnancy","Symptom","Condition","emergency","Immediate obstetric evaluation required","Lie down and avoid exertion","","https://www.nhs.uk/pregnancy/related-conditions/complications/bleeding-in-pregnancy/","high","2025-11-10"
"Heavy vaginal bleeding","IS_RED_FLAG_FOR","Obstetric hemorrhage/Miscarriage","Symptom","Condition","emergency","Seek emergency obstetric care immediately","Lie down; apply pressure if external bleeding","","https://www.nhs.uk/pregnancy/related-conditions/complications/bleeding-in-pregnancy/","high","2025-11-10"
"Severe postpartum bleeding","IS_RED_FLAG_FOR","Postpartum haemorrhage","Symptom","Condition","emergency","Call emergency services; urgent hospital care","Lie flat, raise legs if safe","","https://www.who.int/health-topics/postpartum-hemorrhage","high","2025-11-10"
"Major trauma with deformity","IS_RED_FLAG_FOR","Open fracture","Symptom","Condition","emergency","Call emergency services and immobilize limb","Apply pressure to bleeding sites; avoid moving until stabilized","","https://www.cdc.gov/traumaticbraininjury/index.html","high","2025-11-10"
"Major trauma with uncontrolled bleeding","IS_RED_FLAG_FOR","Hemorrhagic shock","Symptom","Condition","emergency","Call emergency services; control bleeding urgently","Apply firm pressure, elevate limb if possible","","https://www.cdc.gov/first-aid/bleeding.html","high","2025-11-10"
"Head injury with loss of consciousness","IS_RED_FLAG_FOR","Traumatic brain injury","Symptom","Condition","emergency","Seek immediate hospital assessment","Keep airway clear; avoid moving neck if possible","","https://www.nhs.uk/conditions/head-injury/","high","2025-11-10"
"Head injury with repeated vomiting","IS_RED_FLAG_FOR","Traumatic brain injury","Symptom","Condition","emergency","Go to emergency department for evaluation","Keep person still and monitor breathing","","https://www.nhs.uk/conditions/head-injury/","high","2025-11-10"
"Signs of spinal injury (neck/back pain after trauma)","IS_RED_FLAG_FOR","Spinal cord injury","Symptom","Condition","emergency","Call emergency services; immobilize spine during transport","Do not move person; keep spine aligned","","https://www.nhs.uk/conditions/spinal-cord-injury/","high","2025-11-10"
"Sudden severe back pain with bowel/bladder dysfunction","IS_RED_FLAG_FOR","Cauda equina syndrome","Symptom","Condition","emergency","Immediate surgical assessment required","Avoid straining; seek ED urgently","","https://www.nhs.uk/conditions/cauda-equina-syndrome/","high","2025-11-10"
"Acute limb pain","IS_RED_FLAG_FOR","Acute limb ischemia","Symptom","Condition","emergency","Seek urgent vascular surgical assessment","Avoid tight dressings; keep limb warm and immobile","","https://www.nhs.uk/conditions/acute-limb-ischaemia/","high","2025-11-10"
"Severe swelling and pain after injury","IS_RED_FLAG_FOR","Compartment syndrome","Symptom","Condition","emergency","Immediate surgical review required","Keep limb at heart level; seek ED urgently","","https://www.nhs.uk/conditions/compartment-syndrome/","high","2025-11-10"
"Large-area burns or burns to face/airway","IS_RED_FLAG_FOR","Severe burns with airway risk","Symptom","Condition","emergency","Call emergency services and protect airway; transport to burn centre","Remove clothing near burn and cool with running water","","https://www.nhs.uk/conditions/burns-and-scalds/","high","2025-11-10"
"Inhalation injury (smoke exposure)","IS_RED_FLAG_FOR","Airway injury/respiratory failure","Symptom","Condition","emergency","Call emergency services and seek hospital care","Move to fresh air; monitor breathing","","https://www.who.int/health-topics/emergency-care","high","2025-11-10"
"Chemical splash to eye","IS_RED_FLAG_FOR","Corneal burn/eye emergency","Symptom","Condition","emergency","Irrigate eye with clean water for 15+ minutes and seek urgent ophthalmic care","Flush eye continuously; do not rub","","https://www.nhs.uk/conditions/eye-injury/","high","2025-11-10"
"Eye trauma with sudden vision loss","IS_RED_FLAG_FOR","Acute vision loss","Symptom","Condition","emergency","Immediate ophthalmic emergency assessment required","Avoid pressure on eye; protect with shield","","https://www.nhs.uk/conditions/eye-disorders/","high","2025-11-10"
"Sudden painless vision loss","IS_RED_FLAG_FOR","Retinal artery occlusion","Symptom","Condition","emergency","Seek emergency ophthalmology or stroke care immediately","Avoid bright lights; note time of onset","","https://www.nhs.uk/conditions/retinal-detachment/","high","2025-11-10"
"Severe allergic reaction with breathing difficulty","IS_RED_FLAG_FOR","Anaphylaxis","Symptom","Condition","emergency","Administer intramuscular adrenaline if available and call emergency services","Lay person flat with legs raised unless vomiting or breathing difficulty","","https://www.nhs.uk/conditions/anaphylaxis/","high","2025-11-10"
"Swelling of face or throat after exposure","IS_RED_FLAG_FOR","Anaphylaxis","Symptom","Condition","emergency","Use adrenaline auto-injector if prescribed and call emergency services","Keep airway open; monitor breathing","","https://www.nhs.uk/conditions/anaphylaxis/","high","2025-11-10"
"Inability to cough or speak after choking","IS_RED_FLAG_FOR","Airway obstruction","Symptom","Condition","emergency","Perform abdominal thrusts (Heimlich) or back blows as per first aid and call emergency services","Encourage coughing if possible; seek immediate help","","https://www.cdc.gov/first-aid/choking.html","high","2025-11-10"
"Near-drowning or submersion injury","IS_RED_FLAG_FOR","Respiratory failure/aspiration","Symptom","Condition","emergency","Call emergency services and arrange urgent hospital assessment","Begin rescue breathing/CPR if not breathing and trained to do so","","https://www.who.int/news-room/fact-sheets/detail/drowning","high","2025-11-10"
"Suspected poisoning or overdose","IS_RED_FLAG_FOR","Toxic ingestion/poisoning","Symptom","Condition","emergency","Call emergency services or local poison control; bring container if possible","Do not induce vomiting unless instructed by poison control","","https://www.cdc.gov/poisoning/","high","2025-11-10"
"Child not breathing or not crying at birth","IS_RED_FLAG_FOR","Neonatal emergency","Symptom","Condition","emergency","Call emergency services and begin neonatal resuscitation per guidelines","Clear airway, stimulate breathing, seek immediate medical help","","https://www.who.int/teams/reproductive-and-newborn-health/essential-newborn-care","high","2025-11-10"
"Infant blue, floppy or unresponsive","IS_RED_FLAG_FOR","Neonatal emergency","Symptom","Condition","emergency","Call emergency services immediately","Ensure airway patency and begin basic life support if trained","","https://www.nhs.uk/conditions/baby/grief-and-newborn-care/","high","2025-11-10"
"Severe dehydration signs in child (sunken eyes/no tears)","IS_RED_FLAG_FOR","Severe dehydration","Symptom","Condition","urgent","Seek urgent medical care; start ORS if advised","Give small frequent sips of ORS","","https://www.who.int/health-topics/diarrhoeal-disease","high","2025-11-10"
"Severe bleeding with arterial spurting","IS_RED_FLAG_FOR","Major hemorrhage","Symptom","Condition","emergency","Call emergency services and apply immediate firm pressure","Apply direct pressure; raise limb if safe","","https://www.cdc.gov/first-aid/bleeding.html","high","2025-11-10"
"Suspected internal bleeding (pale, faint, rapid pulse)","IS_RED_FLAG_FOR","Internal hemorrhage/shock","Symptom","Condition","emergency","Go to emergency department immediately","Keep person lying down, cover to keep warm","","https://www.nhs.uk/conditions/internal-bleeding/","high","2025-11-10"
"Rapid weak pulse with low blood pressure after trauma","IS_RED_FLAG_FOR","Shock","Symptom","Condition","emergency","Call emergency services; urgent resuscitation required","Lay flat and elevate legs if not contraindicated","","https://www.who.int/teams/health-care-readiness/clinical-care/critical-care","high","2025-11-10"
"Sudden severe palpitations with syncope","IS_RED_FLAG_FOR","Arrhythmia/sudden cardiac event","Symptom","Condition","emergency","Seek urgent emergency care","Lie down and avoid activity; monitor breathing","","https://www.nhs.uk/conditions/abnormal-heart-rhythm-arrhythmia/","high","2025-11-10"
"Severe hyperglycemia with vomiting and breath odor","IS_RED_FLAG_FOR","Diabetic ketoacidosis","Symptom","Condition","emergency","Go to emergency department for urgent metabolic management","Do not give oral fluids if altered consciousness; seek professional care","","https://www.nhs.uk/conditions/diabetic-ketoacidosis-dka/","high","2025-11-10"
"Severe drowsiness or sweating in known diabetic","IS_RED_FLAG_FOR","Hypoglycemia","Symptom","Condition","emergency","If conscious, give fast-acting carbohydrate; if unconscious, call emergency services","Give glucose gel/juice if conscious; recovery position if breathing","","https://www.nhs.uk/conditions/hypoglycaemia/","high","2025-11-10"
"Sepsis signs (fever, very low blood pressure, confusion)","IS_RED_FLAG_FOR","Sepsis","Symptom","Condition","emergency","Seek emergency medical care immediately; sepsis needs urgent treatment","Monitor breathing and consciousness; keep warm","","https://www.who.int/health-topics/sepsis","high","2025-11-10"
"Sudden severe shortness of breath after surgery or long flight","IS_RED_FLAG_FOR","Pulmonary embolism","Symptom","Condition","emergency","Call emergency services immediately","Keep patient still and calm; avoid exertion","","https://www.nhs.uk/conditions/pulmonary-embolism/","high","2025-11-10"
"Sudden severe unilateral weakness or numbness","IS_RED_FLAG_FOR","Stroke","Symptom","Condition","emergency","Call emergency services immediately","Note time of onset and avoid giving food or drink","","https://www.nhs.uk/conditions/stroke/","high","2025-11-10"
"Eye redness","IS_ASSOCIATED_WITH","Conjunctivitis","Symptom","Condition","routine","Self-care for viral conjunctivitis; seek GP for bacterial signs","Use cold compress and avoid touching eyes","Contact lens use consider ophthalmology","https://www.nhs.uk/conditions/conjunctivitis/","high","2025-11-10"
"Eye pain","IS_ASSOCIATED_WITH","Corneal abrasion","Symptom","Condition","urgent","Seek ophthalmic review urgently","Do not rub eye; avoid contact lens use","Do not use topical anaesthetics at home","https://www.nhs.uk/conditions/corneal-abrasion/","high","2025-11-10"
"Sudden vision loss","IS_ASSOCIATED_WITH","Retinal detachment","Symptom","Condition","emergency","Immediate ophthalmic emergency referral","Protect eye and avoid exertion","None","https://www.nhs.uk/conditions/retinal-detachment/","high","2025-11-10"
"Eye discharge (purulent)","IS_ASSOCIATED_WITH","Bacterial conjunctivitis","Symptom","Condition","urgent","See primary care for antibiotic advice","Maintain hygiene and avoid sharing towels","Contact lens use review","https://www.nhs.uk/conditions/conjunctivitis/","high","2025-11-10"
"Foreign body sensation in eye","IS_ASSOCIATED_WITH","Corneal foreign body","Symptom","Condition","urgent","Seek ophthalmic assessment","Do not attempt to remove embedded object","Do not rub the eye","https://www.nhs.uk/conditions/eye-injury/","high","2025-11-10"
"Red painful eye with blurred vision","IS_ASSOCIATED_WITH","Acute glaucoma","Symptom","Condition","emergency","Immediate hospital ophthalmology assessment","Do not lie flat; avoid bright light","None","https://www.nhs.uk/conditions/glaucoma/","high","2025-11-10"
"Ear pain","IS_ASSOCIATED_WITH","Otitis media","Symptom","Condition","routine","Analgesia and primary care review if persistent","Keep ear dry and avoid ear drops without advice","Perforated eardrum caution","https://www.nhs.uk/conditions/ear-infections/","high","2025-11-10"
"Ear pain with discharge","IS_ASSOCIATED_WITH","Otitis externa (swimmer's ear)","Symptom","Condition","urgent","See GP for topical therapy and advice","Keep ear dry and avoid cotton buds","None","https://www.nhs.uk/conditions/otitis-externa/","high","2025-11-10"
"Hearing loss sudden","IS_ASSOCIATED_WITH","Acute otitis media or sudden sensorineural hearing loss","Symptom","Condition","urgent","Seek urgent ENT or audiology assessment","Avoid loud noise exposure","None","https://www.nhs.uk/conditions/sudden-hearing-loss/","high","2025-11-10"
"Ear fullness with popping","IS_ASSOCIATED_WITH","Eustachian tube dysfunction","Symptom","Condition","routine","Self-care and review if persistent","Yawning,swallowing or controlled Valsalva","Recent upper respiratory infection caution","https://www.nhs.uk/conditions/eustachian-tube-dysfunction/","high","2025-11-10"
"Nosebleed (minor)","IS_ASSOCIATED_WITH","Epistaxis","Symptom","Condition","routine","First-aid: lean forward and pinch soft nose","Apply pressure and seek care if bleeding heavy or recurrent","Blood thinning medications caution","https://www.nhs.uk/conditions/nosebleeds/","high","2025-11-10"
"Nosebleed severe","IS_ASSOCIATED_WITH","Major epistaxis","Symptom","Condition","urgent","Attend ED for nasal packing or cautery","Pinch nose and keep calm","Anticoagulant use caution","https://www.nhs.uk/conditions/nosebleeds/","high","2025-11-10"
"Nasal blockage and green discharge","IS_ASSOCIATED_WITH","Sinusitis","Symptom","Condition","routine","Self-care and primary care if persistent","Nasal saline and steam with caution","Facial pain with fever escalate","https://www.nhs.uk/conditions/sinusitis/","high","2025-11-10"
"Sore throat with fever and swollen glands","IS_ASSOCIATED_WITH","Tonsillitis / Strep throat","Symptom","Condition","urgent","See GP for assessment and possible antibiotics","Rest and fluids","Consider testing if bacterial suspicions","https://www.nhs.uk/conditions/tonsillitis/","high","2025-11-10"
"Hoarse voice lasting >2 weeks","IS_ASSOCIATED_WITH","Laryngeal pathology/voice disorder","Symptom","Condition","urgent","Refer for ENT evaluation if persistent","Voice rest and avoid whispering","Smoking history caution","https://www.nhs.uk/conditions/hoarse-voice/","high","2025-11-10"
"Persistent cough >3 weeks","IS_ASSOCIATED_WITH","Tuberculosis or chronic lung disease","Symptom","Condition","urgent","Chest X-ray and TB testing as per local guidelines","Isolate until evaluated if infectious risk","Recent travel or exposure caution","https://www.who.int/health-topics/tuberculosis","high","2025-11-10"
"Cough with fever and breathlessness","IS_ASSOCIATED_WITH","Pneumonia","Symptom","Condition","urgent","Clinical assessment and chest imaging; antibiotics if bacterial","Keep hydrated and rest","Severe breathlessness escalate","https://www.nhs.uk/conditions/pneumonia/","high","2025-11-10"
"Wheeze and cough","IS_ASSOCIATED_WITH","Asthma exacerbation","Symptom","Condition","urgent","Use reliever inhaler and seek urgent review if not improving","Follow asthma action plan","Do not use sedating cough suppressants","https://ginasthma.org/","high","2025-11-10"
"Productive cough with chronicity","IS_ASSOCIATED_WITH","Chronic bronchitis / COPD","Symptom","Condition","urgent","Review by clinician and COPD assessment","Smoking cessation and bronchodilators","Smoking history important","https://www.nhs.uk/conditions/copd/","high","2025-11-10"
"Blood in sputum","IS_ASSOCIATED_WITH","Lower respiratory tract bleed/TB","Symptom","Condition","urgent","Arrange urgent medical evaluation and imaging","Do not ignore if persistent","Anticoagulant use caution","https://www.nhs.uk/conditions/haemoptysis/","high","2025-11-10"
"Shortness of breath on exertion","IS_ASSOCIATED_WITH","Heart failure or pulmonary disease","Symptom","Condition","urgent","Clinical assessment and baseline tests (ECG","CXR),Rest and avoid exertion until reviewed","Known cardiac history caution","https://www.nhs.uk/conditions/heart-failure/","high","2025-11-10"
"Chest tightness with exertion","IS_ASSOCIATED_WITH","Angina","Symptom","Condition","urgent","Cardiology assessment and risk stratification","Rest and avoid exertion until evaluated","Known coronary disease caution","https://www.nhs.uk/conditions/angina/","high","2025-11-10"
"Palpitations with syncope","IS_ASSOCIATED_WITH","Arrhythmia","Symptom","Condition","urgent","ECG and cardiology review; urgent if syncope present","Lie down and seek help if recurrent","Known heart disease caution","https://www.nhs.uk/conditions/abnormal-heart-rhythm-arrhythmia/","high","2025-11-10"
"Abdominal pain RUQ","IS_ASSOCIATED_WITH","Gallstones/cholecystitis","Symptom","Condition","urgent","Ultrasound and surgical review if required","Keep NPO if severe; pain control under guidance","None","https://www.nhs.uk/conditions/gallstones/","high","2025-11-10"
"Abdominal pain epigastric with vomiting","IS_ASSOCIATED_WITH","Pancreatitis","Symptom","Condition","urgent","Hospital assessment with blood tests and imaging","NPO until assessed; IV fluids if severe","Alcohol and hypertriglyceridemia caution","https://www.nhs.uk/conditions/pancreatitis/","high","2025-11-10"
"Upper abdominal pain with heartburn","IS_ASSOCIATED_WITH","Gastro-oesophageal reflux disease","Symptom","Condition","routine","Lifestyle measures and antacid review","Diet triggers and obesity caution","","https://www.nhs.uk/conditions/acid-reflux-heartburn-and-gastro-oesophageal-reflux-disease-gerd/","high","2025-11-10"
"Lower abdominal pain with urinary symptoms","IS_ASSOCIATED_WITH","Urinary tract infection","Symptom","Condition","routine","Urinalysis and primary care treatment if bacterial","Hydrate and seek antibiotics if confirmed","Pregnancy and recurrent UTIs caution","https://www.nhs.uk/conditions/urinary-tract-infection/","high","2025-11-10"
"Burning on urination","IS_ASSOCIATED_WITH","Urinary tract infection","Symptom","Condition","routine","Urinalysis and treat per guidelines","Hydration and analgesia","Men/pregnancy require urgent review","https://www.nhs.uk/conditions/urinary-tract-infection/","high","2025-11-10"
"Flank pain radiating to groin","IS_ASSOCIATED_WITH","Kidney stone (urolithiasis)","Symptom","Condition","urgent","Analgesia and imaging (CT/US) if severe","Hydration and seek ED if uncontrolled pain or vomiting","Obstruction or infection caution","https://www.nhs.uk/conditions/kidney-stones/","high","2025-11-10"
"Fever with loin pain and urinary symptoms","IS_ASSOCIATED_WITH","Pyelonephritis","Symptom","Condition","urgent","Medical assessment and likely oral/IV antibiotics","Hydration and seek advice if severe","Sepsis risk caution","https://www.nhs.uk/conditions/kidney-infection-pyelonephritis/","high","2025-11-10"
"Blood in urine","IS_ASSOCIATED_WITH","Urinary tract bleeding/stone/tumour","Symptom","Condition","urgent","Medical evaluation with urinalysis and imaging","Do not ignore persistent haematuria","Anticoagulant therapy caution","https://www.nhs.uk/conditions/blood-in-urine-haematuria/","high","2025-11-10"
"Jaundice (yellow eyes/skin)","IS_ASSOCIATED_WITH","Liver disease/hepatitis","Symptom","Condition","urgent","Investigate liver function tests and viral screening","Avoid alcohol and hepatotoxins","Medications and pregnancy caution","https://www.nhs.uk/conditions/jaundice/","high","2025-11-10"
"Persistent nausea/vomiting with dehydration","IS_ASSOCIATED_WITH","Severe gastroenteritis or obstruction","Symptom","Condition","urgent","Seek medical review; IV fluids if dehydrated","Start ORS if tolerated","High risk in infants/elderly","https://www.who.int/health-topics/diarrhoeal-disease","high","2025-11-10"
"Black stools (melaena)","IS_ASSOCIATED_WITH","Upper GI bleeding","Symptom","Condition","urgent","Attend ED for evaluation and endoscopy","NPO and avoid NSAIDs","Anticoagulant therapy caution","https://www.nhs.uk/conditions/upper-gastrointestinal-bleeding/","high","2025-11-10"
"Persistent change in bowel habit","IS_ASSOCIATED_WITH","Colorectal cancer (possible)","Symptom","Condition","urgent","Refer for urgent investigation per local guidelines","Stool and symptom record","Red flag weight loss or blood in stool","https://www.nhs.uk/conditions/colorectal-cancer/","high","2025-11-10"
"Acute severe headache with fever & neck stiffness","IS_ASSOCIATED_WITH","Meningitis","Symptom","Condition","emergency","Immediate hospital assessment and lumbar puncture if indicated","Keep patient comfortable and monitor breathing","Children and infants escalate rapidly","https://www.nhs.uk/conditions/meningitis/","high","2025-11-10"
"New focal neurological deficit","IS_ASSOCIATED_WITH","Intracranial haemorrhage or stroke","Symptom","Condition","emergency","Call emergency services immediately","Keep person still and note time of onset","Bleeding risk with anticoagulants caution","https://www.nhs.uk/conditions/stroke/","high","2025-11-10"
"Sudden severe vertigo with vomiting","IS_ASSOCIATED_WITH","Acute vestibular syndrome/central cause","Symptom","Condition","urgent","Neurological assessment and imaging if central cause suspected","Hydration and antiemetics","Neurological signs escalation","https://www.nhs.uk/conditions/vertigo/","high","2025-11-10"
"Persistent unilateral nasal obstruction with bleeding","IS_ASSOCIATED_WITH","Nasal polyp or sinonasal tumour (red flag)","Symptom","Condition","urgent","ENT evaluation and imaging","Do not ignore unilateral symptoms","Recurrent epistaxis caution","https://www.nhs.uk/conditions/nasal-polyp/","high","2025-11-10"
"Acute severe lower limb pain with pallor and pulselessness","IS_ASSOCIATED_WITH","Acute limb ischemia","Symptom","Condition","emergency","Immediate vascular surgery referral","Keep limb warm and immobile","Do not apply tight bandages","https://www.nhs.uk/conditions/acute-limb-ischaemia/","high","2025-11-10"
"Rapid-onset severe unilateral leg swelling and pain","IS_ASSOCIATED_WITH","Deep vein thrombosis","Symptom","Condition","urgent","Ultrasound and anticoagulation assessment","Limit walking and seek medical review","Recent surgery or malignancy caution","https://www.nhs.uk/conditions/deep-vein-thrombosis-dvt/","high","2025-11-10"
"New-onset significant unilateral breast lump","IS_ASSOCIATED_WITH","Breast cancer (possible)","Symptom","Condition","urgent","Refer for breast clinic and imaging","Do not delay assessment","Family history and age risk factors","https://www.nhs.uk/conditions/breast-cancer/","high","2025-11-10"
"Red swollen painful area of skin","IS_ASSOCIATED_WITH","Cellulitis","Symptom","Condition","urgent","Medical review and antibiotics if spreading","Keep area elevated and clean","Diabetes and immunosuppression caution","https://www.nhs.uk/conditions/cellulitis/","high","2025-11-10"
"Itchy scaly patches","IS_ASSOCIATED_WITH","Eczema or psoriasis","Symptom","Condition","routine","Topical emollients and review if severe","Avoid known triggers and use soap substitutes","None","https://www.nhs.uk/conditions/eczema/","high","2025-11-10"
"New painful non-healing ulcer","IS_ASSOCIATED_WITH","Diabetic foot ulcer or malignancy","Symptom","Condition","urgent","Specialist wound care assessment and debridement","Offload pressure and keep clean","Diabetes and peripheral vascular disease caution","https://www.nhs.uk/conditions/foot-ulcer/","high","2025-11-10"
"Acute severe localized joint pain with swelling","IS_ASSOCIATED_WITH","Septic arthritis or gout","Symptom","Condition","urgent","Joint aspiration and urgent orthopaedic/rheumatology review","Do not try to aspirate at home","History of gout or immunosuppression caution","https://www.nhs.uk/conditions/gout/","high","2025-11-10"
"Diffuse muscle weakness progressing over days","IS_ASSOCIATED_WITH","Guillain-Barré syndrome","Symptom","Condition","urgent","Neurology referral and possible admission for monitoring and support","Monitor breathing and seek urgent care if progression","Recent infection history caution","https://www.nhs.uk/conditions/guillain-barre-syndrome/","high","2025-11-10"
"New unexplained weight loss with systemic symptoms","IS_ASSOCIATED_WITH","Underlying malignancy (possible)","Symptom","Condition","urgent","Refer for urgent investigation per guidelines","Document weight and symptoms","Red flag lymphadenopathy or bleeding","https://www.nhs.uk/conditions/unexplained-weight-loss/","high","2025-11-10"
"Sudden severe localized eye pain after trauma","IS_ASSOCIATED_WITH","Globe rupture/ocular emergency","Symptom","Condition","emergency","Immediate ophthalmic emergency referral","Protect eye and avoid pressure","Do not remove embedded objects","https://www.nhs.uk/conditions/eye-injury/","high","2025-11-10"
"Persistent or worsening sore throat with drooling or muffled voice","IS_ASSOCIATED_WITH","Peritonsillar abscess","Symptom","Condition","urgent","ENT assessment and possible drainage","Do not attempt needle drainage at home","Trismus and airway risk escalate","https://www.nhs.uk/conditions/peritonsillar-abscess/","high","2025-11-10"
"Prolonged high fever in infant under 3 months","IS_ASSOCIATED_WITH","Serious bacterial infection/sepsis risk","Symptom","Condition","emergency","Immediate medical assessment and admission likely","Do not delay; seek ED","Infant age risk","https://www.nhs.uk/conditions/fever-in-children/","high","2025-11-10"
"Hypertension","RECOMMENDED_FOR","DASH diet","Condition","Action","routine","Adopt low-sodium balanced diet rich in fruits and vegetables","Limit salt and processed food","None","https://www.who.int/news-room/fact-sheets/detail/hypertension","high","2025-11-10"
"Hypertension","RECOMMENDED_FOR","Regular blood pressure monitoring","Condition","Action","routine","Check BP at least weekly or as advised","Use validated home BP monitor","None","https://www.nice.org.uk/guidance/ng136","high","2025-11-10"
"Hypertension","RECOMMENDED_FOR","Regular exercise","Condition","Action","routine","30 min moderate exercise 5 days a week","Avoid overexertion if uncontrolled BP","None","https://www.cdc.gov/bloodpressure/prevention.htm","high","2025-11-10"
